Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
Amount Compute Work,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,inf,,,inf,,,,inf,,,,-inf,,,,,,,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,inf,,,inf,,,,inf,,,,-inf,,,,,,,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,inf,,,inf,,,,inf,,,,-inf,,,,,,,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,inf,,,inf,,,,inf,,,,-inf,,,,,,,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Compute Work,Delivery Failure Rate,delivery-failure-rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Compute Work,Delivery Clumpiness,delivery-clumpiness,1,1,-0.25391366244766594,-0.2753064166041228,-0.2325209082912091,-0.25391366244766594,-0.2753064166041228,-0.2325209082912091,0.042785508312913695,-0.2635054419565196,-0.2857063234857921,-0.24130456042724704,0.04440176305854507,1.0787173054278678,1.0263159735517446,1.131118637303991,0.9222690851569357,2.8193590199030905e-28,True,-,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,36.59284197545924,35.76304553002735,37.422638420891126,36.59284197545924,35.76304553002735,37.422638420891126,1.6595928908637774,0.0024964274705528964,0.0024398173104911943,0.0025530376306145985,0.00011322032012340416,-307977.7550442962,-6534699.874185002,5918744.36409641,0.9939314885407432,7.14987825645247e-55,True,+,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,36.23339911451009,35.40452259765967,37.062275631360514,36.23339911451009,35.40452259765967,37.062275631360514,1.6577530337008426,0.0024592959356730653,0.002403036995058003,0.002515554876288128,0.00011251788123012524,-293448.7959948381,-6513267.849115231,5926370.257125556,0.9938248680460425,1.0860719252534689e-54,True,+,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,45.017115589501145,44.933485207183445,45.100745971818846,45.017115589501145,44.933485207183445,45.100745971818846,0.16726076463540096,7.165655205805753e-05,7.152343235978923e-05,7.178967175632583e-05,2.662393965365982e-07,2.6832616934683894e-06,-627555.2930463923,627555.2930517588,,5.751537233420214e-107,True,+,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
Amount Compute Work,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,45.370843992917145,45.27120435072362,45.47048363511067,45.370843992917145,45.27120435072362,45.47048363511067,0.19927928438704612,7.188988597315414e-05,7.173200743519226e-05,7.204776451111602e-05,3.1575707592376126e-07,2.7043461229437826e-06,-747687.4208023271,747687.4208077358,,1.7689843876590037e-103,True,+,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
