IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
Amount Compute Work,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,inf,nan,nan,inf,nan,nan,nan,inf,nan,nan,nan,-inf,nan,nan,nan,nan,NaN,NaN,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,inf,nan,nan,inf,nan,nan,nan,inf,nan,nan,nan,-inf,nan,nan,nan,nan,NaN,NaN,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,inf,nan,nan,inf,nan,nan,nan,inf,nan,nan,nan,-inf,nan,nan,nan,nan,NaN,NaN,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,inf,nan,nan,inf,nan,nan,nan,inf,nan,nan,nan,-inf,nan,nan,nan,nan,NaN,NaN,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Compute Work,Delivery Failure Rate,delivery-failure-rate,1,1,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,NaN,NaN,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Compute Work,Delivery Clumpiness,delivery-clumpiness,1,1,-0.25,-0.28,-0.23,-0.25,-0.28,-0.23,0.043,-0.26,-0.29,-0.24,0.044,1.1,1,1.1,0.92,2.8e-28,True,-,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,37,36,37,37,36,37,1.7,0.0025,0.0024,0.0026,0.00011,-310'000,-6.5e+06,5.9e+06,0.99,7.1e-55,True,+,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,36,35,37,36,35,37,1.7,0.0025,0.0024,0.0025,0.00011,-290'000,-6.5e+06,5.9e+06,0.99,1.1e-54,True,+,50,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Amount Compute Work,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,45,45,45,45,45,45,0.17,7.2e-05,7.2e-05,7.2e-05,2.7e-07,2.7e-06,-630'000,630'000,nan,5.8e-107,True,+,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
Amount Compute Work,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,45,45,45,45,45,45,0.2,7.2e-05,7.2e-05,7.2e-05,3.2e-07,2.7e-06,-750'000,750'000,nan,1.8e-103,True,+,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
Amount Compute Work,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,6.1e-08,-1.5e-06,1.6e-06,6.1e-08,-1.5e-06,1.6e-06,3e-06,1.5e-09,-3.5e-08,3.8e-08,7.3e-08,3.6e-15,-11,11,nan,0.94,False,0,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
Amount Compute Work,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,6.1e-08,-1.4e-06,1.6e-06,6.1e-08,-1.4e-06,1.6e-06,3e-06,1.4e-09,-3.5e-08,3.7e-08,7.2e-08,3.6e-15,-11,11,nan,0.94,False,0,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
Log Compute Work,Delivery Failure Rate,delivery-failure-rate,1,1,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
Log Compute Work,Delivery Clumpiness,delivery-clumpiness,1,1,-0.26,-0.31,-0.22,-0.26,-0.31,-0.22,0.085,-0.27,-0.32,-0.23,0.089,1.1,0.95,1.2,nan,1.5e-16,True,-,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
Amount Compute Work,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,30,30,30,30,30,30,0.024,0.0021,0.0021,0.0021,1.6e-06,1.8e-06,-88'000,88'000,nan,1.9e-139,True,+,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
Amount Compute Work,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,30,30,30,30,30,30,0.019,0.0021,0.0021,0.0021,1.3e-06,1.8e-06,-72'000,72'000,nan,1.1e-143,True,+,50,lambda row: True,2,2,Quantile Regression,quantile-regression,median
