Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
0 = Intranode | 1 = Internode,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1-2,1,596469.3352996855,530869.772102543,662068.8984968279,596469.3352996855,530869.772102543,662068.8984968279,131199.1263942849,76.73870063504948,68.29899561744574,85.17840565265323,16.879410035207485,7772.731755471786,-38613.16422410307,54158.62773504665,0.9529924369436721,2.124098541890565e-13,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1-2,1,588755.00725951,526588.8609090889,650921.1536099311,588755.00725951,526588.8609090889,650921.1536099311,124332.29270084226,76.58126643873315,68.49511488430154,84.66741799316476,16.17230310886322,7687.976898769812,-36270.12674584834,51646.080543387965,0.9565108234133568,1.0528788803084484e-13,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Simsteps Inlet,latency-simsteps-inlet,1-2,1,40.80090080157093,36.34385455599369,45.25794704714818,40.80090080157093,36.34385455599369,45.25794704714818,8.914092491154491,40.597438582325324,36.16261832937544,45.03225883527521,8.869640505899767,1.0050117008942143,-2.146595923415497,4.156619325203925,0.9535943278584675,1.890957450069305e-13,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Simsteps Outlet,latency-simsteps-outlet,1-2,1,40.40863008851854,36.146805018180125,44.67045515885696,40.40863008851854,36.146805018180125,44.67045515885696,8.523650140676835,40.482070441764925,36.212499750306606,44.751641133223245,8.53914138291664,0.9981858548131377,-2.0153795526539913,4.011751262280267,0.9566060925889,1.0322554474761152e-13,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Delivery Failure Rate,delivery-failure-rate,1-2,1,-0.32941273225869794,-0.3488791407472186,-0.3099463237701773,-0.32941273225869794,-0.3488791407472186,-0.3099463237701773,0.03893281697704132,-1.0000000000000002,-1.0590942807676091,-0.9409057192323913,0.11818856153521784,0.32941273225869794,0.3156479028111176,0.3431775617062783,0.9859588613489514,3.959659426707958e-18,True,-,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Delivery Clumpiness,delivery-clumpiness,1-2,1,0.9446766527740907,0.9330080568275375,0.956345248720644,0.9446766527740907,0.9330080568275375,0.956345248720644,0.023337191893106457,68.24665338809396,67.40367434256379,69.08963243362413,1.6859580910603427,0.013842094899541324,0.005591151578807706,0.022093038220274943,0.9993781962457794,2.577962799905023e-30,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Simstep Period Inlet (ns),simstep-period-inlet-ns,1-2,1,5460.893850025576,5068.022896887518,5853.7648031636345,5460.893850025576,5068.022896887518,5853.7648031636345,785.7419062761164,0.6018601473172042,0.5585607578351665,0.645159536799242,0.08659877896407553,9073.360105944132,8795.558390848988,9351.161821039275,0.9793293668200138,1.2898446483317937e-16,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Simstep Period Outlet (ns),simstep-period-outlet-ns,1-2,1,5439.202657926,5060.816753792481,5817.588562059519,5439.202657926,5060.816753792481,5817.588562059519,756.7718082670381,0.6015042834271497,0.5596597785541594,0.64334878830014,0.08368900974598059,9042.66654085226,8775.107302134045,9310.225779570475,0.9806462808542357,7.128056493274547e-17,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1-2,1,546932.1694252625,530343.8345003139,563520.5043502111,546932.1694252625,530343.8345003139,563520.5043502111,33176.66984989727,78.34543919030864,75.96923889019331,80.72163949042397,4.752400600230658,6978.42332720727,-4751.300786817582,18708.147441232122,,2.642973690885428e-23,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1-2,1,542477.7097156676,528431.5903249598,556523.8291063755,542477.7097156676,528431.5903249598,556523.8291063755,28092.238781415625,77.95178341654042,75.93341466704616,79.97015216603468,4.036737498988515,6931.565495372154,-3000.540775153203,16863.67176589751,,1.546502868582303e-24,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Latency Simsteps Inlet,latency-simsteps-inlet,1-2,1,37.19999836935973,35.336340464730036,39.06365627398943,37.19999836935973,35.336340464730036,39.06365627398943,3.7273158092593945,37.50860188390991,35.62948345765391,39.38772031016591,3.758236852511999,0.9829586035721917,-0.3348465386033793,2.3007637457477625,,2.0958209936223194e-19,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
