Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,2,1,-439516.77799548,-1046157.1268259379,167123.5708349779,-439516.77799548,-1046157.1268259379,167123.5708349779,1213280.6976609158,-0.9806962346653656,-2.3342962237429887,0.37290375441225787,2.7071999781552467,448168.1100218078,19208.605622418632,877127.614421197,0.11403827994922322,0.14534859530764305,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,2,1,-445368.0969039437,-1050700.7094677957,159964.5156599083,-445368.0969039437,-1050700.7094677957,159964.5156599083,1210665.225127704,-0.9813146930561718,-2.3150918338627005,0.35246244775035684,2.6675542816130573,453848.39344135893,25813.598224090238,881883.1886586277,0.11718383558550571,0.1395689853195422,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Inlet,latency-simsteps-inlet,2,1,-76.0411081161238,-179.8527221076771,27.770505875429492,-76.0411081161238,-179.8527221076771,27.770505875429492,207.62322798310657,-0.9876583821797409,-2.3360134136423176,0.3606966492828355,2.696710062925153,76.99130538263918,3.585409163291601,150.39720160198675,0.11627101325531175,0.14122124535913685,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Outlet,latency-simsteps-outlet,2,1,-77.03534043421573,-180.62325930891345,26.552578440481994,-77.03534043421573,-180.62325930891345,26.552578440481994,207.17583774939544,-0.9879452289478841,-2.3164158977611224,0.34052543986535444,2.6569413376264768,77.9753150043093,4.727595119008612,151.22303488960998,0.1194202218163336,0.13560487895506557,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Delivery Failure Rate,delivery-failure-rate,2,1,0.38375563933627216,0.3323972216325435,0.43511405704000083,0.38375563933627216,0.3323972216325435,0.43511405704000083,0.10271683540745735,-1350012.788161926,-1169339.167834903,-1530686.4084889488,-361347.2406540457,-2.842607437890739e-07,-0.036316169690061545,0.03631560116857396,0.9319308907468669,6.005655793244972e-12,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Delivery Clumpiness,delivery-clumpiness,2,1,-0.5291961614993701,-0.6226111031393587,-0.43578121985938145,-0.5291961614993701,-0.6226111031393587,-0.43578121985938145,0.1868298832799773,-0.9412490554835309,-1.1074005357542227,-0.775097575212839,0.33230296054138375,0.5622275617875823,0.4961732230898007,0.6282819004853638,0.8872542817851892,5.760102790552192e-10,True,-,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Simstep Period Inlet (ns),simstep-period-inlet-ns,2,1,4469.622728232887,4219.359168010079,4719.886288455696,4469.622728232887,4219.359168010079,4719.886288455696,500.5271204456167,0.9678288604398175,0.9136380906528979,1.0220196302267373,0.10838153957383934,4618.1953348670795,4441.232274349643,4795.158395384516,0.9873762377828492,1.5186430767997115e-18,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Simstep Period Outlet (ns),simstep-period-outlet-ns,2,1,4378.87552213548,4073.496295179147,4684.254749091813,4378.87552213548,4073.496295179147,4684.254749091813,610.758453912666,0.9523279810430938,0.8859134001330617,1.0187425619531256,0.13282916182006388,4598.075042738172,4382.139320523843,4814.010764952501,0.9805519078728159,7.447371658894306e-17,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,2,1,2726.257702566649,-181.71687694911816,5634.2322820824165,2726.257702566649,-181.71687694911816,5634.2322820824165,5815.949159031535,0.5106387020116571,-0.034036279876091875,1.055313683899406,1.0893499637754978,5358.85462302471,3302.606078331012,7415.103167718408,,0.06446671457371196,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,2,1,2529.973762440568,-345.09855641549984,5405.046081296636,2529.973762440568,-345.09855641549984,5405.046081296636,5750.144637712136,0.4699998571688779,-0.06410986336396089,1.0041095777017166,1.0682194410656776,5401.708480112515,3368.7253470476576,7434.691613177372,,0.08098955170727967,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Inlet,latency-simsteps-inlet,2,1,-0.28758881314180645,-0.6934731627939272,0.11829553651031438,-0.28758881314180645,-0.6934731627939272,0.11829553651031438,0.8117686993042417,-0.24950607492163637,-0.6016428977955025,0.10263074795222986,0.7042736457477323,1.16629473634298,0.8792911603264737,1.4532983123594865,,0.15390259663043088,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
