Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,-18672.871741423136,-34953.0522676897,-2392.6912151565684,-18672.871741423136,-34953.0522676897,-2392.6912151565684,32560.36105253313,-0.03322897111251805,-0.062200071857231934,-0.004257870367804165,0.05794220148942777,584525.0273702083,533907.8890964739,635142.1656439427,0.1646769429521363,0.026084257302553777,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,-19752.438831930882,-36465.96583016398,-3038.9118336977845,-19752.438831930882,-36465.96583016398,-3038.9118336977845,33427.053996466195,-0.03480997840531276,-0.06426444318485172,-0.005355513625773796,0.05890892955907793,591767.6416312692,539803.174422418,643732.1088401205,0.17307880617649762,0.022218053027273185,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-1.027487122747937,-1.3545336027547057,-0.7004406427411684,-1.027487122747937,-1.3545336027547057,-0.7004406427411684,0.6540929600135373,-0.1260222499446758,-0.16613480448133283,-0.0859096954080188,0.08022510907331404,9.89573859315948,8.878909764158958,10.912567422160002,0.5966337994757263,5.71613672575932e-07,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-1.0661456548108221,-1.4045541380388507,-0.7277371715827935,-1.0661456548108221,-1.4045541380388507,-0.7277371715827935,0.6768169664560572,-0.12780018934685553,-0.1683656299486824,-0.08723474874502862,0.08113088120365378,10.152283658258026,9.100128925641803,11.20443839087425,0.5979723231303746,5.450742035905074e-07,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,-0.035690920142792425,-0.0450365612550095,-0.02634527903057535,-0.035690920142792425,-0.0450365612550095,-0.02634527903057535,0.018691282224434152,-0.044398560305629324,-0.0560242905713516,-0.03277283003990705,0.02325146053144455,0.868860793618208,0.8398040145689483,0.8979175726674677,0.6860879584669044,1.603991224932728e-08,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,8794.996447379588,7436.440549281717,10153.55234547746,8794.996447379588,7436.440549281717,10153.55234547746,2717.1117961957425,0.1247845309704282,0.10550916667033675,0.14405989527051966,0.03855072860018291,53951.3869910674,49727.465048944614,58175.30893319018,0.8626458750553173,1.3616782902681437e-13,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,8729.393111186755,7389.523530705038,10069.262691668471,8729.393111186755,7389.523530705038,10069.262691668471,2679.7391609634333,0.12549602524708048,0.10623371175538472,0.14475833873877625,0.03852462698339153,53140.83551527502,48975.011695656336,57306.65933489371,0.8641467800962723,1.1665966011973719e-13,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,5468058.900302263,3482180.8447643984,7453936.955840128,5468058.900302263,3482180.8447643984,7453936.955840128,3971756.111075729,2.506970293533998,1.5964941295813233,3.417446457486673,1.8209523279053497,-10478094.952912645,-16652440.745316856,-4303749.160508436,0.5318681222783639,4.839124288607256e-06,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,5455185.58229058,3468846.72496869,7441524.439612469,5455185.58229058,3468846.72496869,7441524.439612469,3972677.7146437787,2.47314754626147,1.5726265654579665,3.373668527064973,1.8010419616070064,-10424803.028864399,-16600581.512237921,-4249024.545490877,0.5305786392965471,5.034544538066501e-06,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
