IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,-19'000,-35'000,-2'400,-19'000,-35'000,-2'400,33'000,-0.033,-0.062,-0.0043,0.058,580'000,530'000,640'000,0.16,0.026,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,-20'000,-36'000,-3'000,-20'000,-36'000,-3'000,33'000,-0.035,-0.064,-0.0054,0.059,590'000,540'000,640'000,0.17,0.022,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-1,-1.4,-0.7,-1,-1.4,-0.7,0.65,-0.13,-0.17,-0.086,0.08,9.9,8.9,11,0.6,5.7e-07,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-1.1,-1.4,-0.73,-1.1,-1.4,-0.73,0.68,-0.13,-0.17,-0.087,0.081,10,9.1,11,0.6,5.5e-07,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,NaN,NaN,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,-0.036,-0.045,-0.026,-0.036,-0.045,-0.026,0.019,-0.044,-0.056,-0.033,0.023,0.87,0.84,0.9,0.69,1.6e-08,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,8'800,7'400,10'000,8'800,7'400,10'000,2'700,0.12,0.11,0.14,0.039,54'000,50'000,58'000,0.86,1.4e-13,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,8'700,7'400,10'000,8'700,7'400,10'000,2'700,0.13,0.11,0.14,0.039,53'000,49'000,57'000,0.86,1.2e-13,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,5.5e+06,3.5e+06,7.5e+06,5.5e+06,3.5e+06,7.5e+06,4e+06,2.5,1.6,3.4,1.8,-1e+07,-1.7e+07,-4.3e+06,0.53,4.8e-06,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,5.5e+06,3.5e+06,7.4e+06,5.5e+06,3.5e+06,7.4e+06,4e+06,2.5,1.6,3.4,1.8,-1e+07,-1.7e+07,-4.2e+06,0.53,5e-06,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
