IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
0 = Sans lac-417 | 1 = With lac-417,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,9.7e+06,8.5e+06,1.1e+07,9.7e+06,8.5e+06,1.1e+07,2.5e+06,4.1,3.5,4.6,1,2.4e+06,1.5e+06,3.3e+06,nan,2.2e-12,True,+,20,lambda row: True,256,256,Quantile Regression over Means,quantile-regression-over-means,mean
0 = Sans lac-417 | 1 = With lac-417,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,9.8e+06,8.5e+06,1.1e+07,9.8e+06,8.5e+06,1.1e+07,2.5e+06,4.1,3.6,4.6,1.1,2.4e+06,1.5e+06,3.3e+06,nan,3.3e-12,True,+,20,lambda row: True,256,256,Quantile Regression over Means,quantile-regression-over-means,mean
0 = Sans lac-417 | 1 = With lac-417,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,5.2,4.6,5.9,5.2,4.6,5.9,1.3,4.3,3.8,4.9,1.1,1.2,0.73,1.7,nan,2.8e-12,True,+,20,lambda row: True,256,256,Quantile Regression over Means,quantile-regression-over-means,mean
0 = Sans lac-417 | 1 = With lac-417,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,5.3,4.6,6,5.3,4.6,6,1.4,4.4,3.8,5,1.2,1.2,0.7,1.7,nan,5.6e-12,True,+,20,lambda row: True,256,256,Quantile Regression over Means,quantile-regression-over-means,mean
0 = Sans lac-417 | 1 = With lac-417,Delivery Failure Rate,delivery-failure-rate,1,2048,0.003,0.0026,0.0033,0.003,0.0026,0.0033,0.00067,-25,-22,-28,-5.7,-0.00012,-0.00036,0.00012,nan,3.8e-13,True,+,20,lambda row: True,256,256,Quantile Regression over Means,quantile-regression-over-means,mean
0 = Sans lac-417 | 1 = With lac-417,Delivery Clumpiness,delivery-clumpiness,1,2048,0.013,-0.035,0.061,0.013,-0.035,0.061,0.096,0.025,-0.068,0.12,0.19,0.51,0.48,0.55,nan,0.58,False,0,20,lambda row: True,256,256,Quantile Regression over Means,quantile-regression-over-means,mean
0 = Sans lac-417 | 1 = With lac-417,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,-14'000,-24'000,-4'500,-14'000,-24'000,-4'500,19'000,-0.0071,-0.012,-0.0022,0.0097,2e+06,2e+06,2e+06,nan,0.0067,True,-,20,lambda row: True,256,256,Quantile Regression over Means,quantile-regression-over-means,mean
0 = Sans lac-417 | 1 = With lac-417,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,2048,-14'000,-23'000,-4'300,-14'000,-23'000,-4'300,18'000,-0.0068,-0.011,-0.0022,0.0092,2e+06,2e+06,2e+06,nan,0.0063,True,-,20,lambda row: True,256,256,Quantile Regression over Means,quantile-regression-over-means,mean
0 = Sans lac-417 | 1 = With lac-417,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,-9'800,-110'000,87'000,-9'800,-110'000,87'000,190'000,-0.0042,-0.046,0.037,0.083,2.3e+06,2.3e+06,2.4e+06,nan,0.83,False,0,20,lambda row: True,256,256,Quantile Regression over Medians,quantile-regression-over-medians,median
0 = Sans lac-417 | 1 = With lac-417,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,-7'000,-110'000,91'000,-7'000,-110'000,91'000,200'000,-0.003,-0.046,0.04,0.085,2.3e+06,2.2e+06,2.4e+06,nan,0.88,False,0,20,lambda row: True,256,256,Quantile Regression over Medians,quantile-regression-over-medians,median
0 = Sans lac-417 | 1 = With lac-417,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,-0.0013,-0.049,0.046,-0.0013,-0.049,0.046,0.095,-0.0011,-0.042,0.04,0.081,1.2,1.1,1.2,nan,0.95,False,0,20,lambda row: True,256,256,Quantile Regression over Medians,quantile-regression-over-medians,median
