Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
0 = Intranode | 1 = Internode,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1-2,1,545932.8954452882,505871.64595414785,585994.1449364284,545932.8954452882,505871.64595414785,585994.1449364284,80122.49898228055,80.05022411698685,74.17603696518205,85.92441126879164,11.748374303609594,6819.879662640994,-21507.701515350433,35147.46084063242,0.9785123270278915,1.8290293272257022e-16,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1-2,1,542624.0062101133,502688.9684673011,582559.0439529255,542624.0062101133,502688.9684673011,582559.0439529255,79870.07548562437,79.97089078354679,74.08534111155049,85.85644045554311,11.771099343992617,6785.269000926983,-21453.06699395624,35023.60499581021,0.9783890233566129,1.9257961986549346e-16,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Simsteps Inlet,latency-simsteps-inlet,1-2,1,37.288996923492,34.000134182258805,40.577859664725196,37.288996923492,34.000134182258805,40.577859664725196,6.577725482466391,41.712151395192606,38.033169607031375,45.39113318335384,7.357963576322462,0.8939600494399282,-1.4316170972778417,3.219537196157698,0.9692518243294405,4.621090247836007e-15,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Simsteps Outlet,latency-simsteps-outlet,1-2,1,37.21808926309984,33.978998911256745,40.45717961494294,37.21808926309984,33.978998911256745,40.45717961494294,6.478180703686192,41.672489534327575,38.045732721700155,45.299246346955,7.253513625254847,0.8931093313357656,-1.3972734213284073,3.1834920839999388,0.9700374273165164,3.6595211314805615e-15,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Delivery Failure Rate,delivery-failure-rate,1-2,1,-0.297686056789149,-0.3409500091506811,-0.2544221044276169,-0.297686056789149,-0.3409500091506811,-0.2544221044276169,0.08652790472306415,-1.0000000000000002,-1.1453341578311678,-0.8546658421688327,0.2906683156623351,0.29768605678914895,0.2670938226933779,0.32827829088492,0.9206944548237629,2.388341735002579e-11,True,-,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Delivery Clumpiness,delivery-clumpiness,1-2,1,0.9475066538864798,0.9385024822008188,0.9565108255721408,0.9475066538864798,0.9385024822008188,0.9565108255721408,0.018008343371322066,90.53583087716785,89.67546735193221,91.39619440240348,1.7207270504712682,0.010465543251842391,0.004098632393943537,0.016832454109741248,0.9996318577038966,2.3040316562581525e-32,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Simstep Period Inlet (ns),simstep-period-inlet-ns,1-2,1,5550.331077996489,5134.088456267476,5966.573699725501,5550.331077996489,5134.088456267476,5966.573699725501,832.4852434580243,0.6151890566468958,0.5690534474013776,0.661324665892414,0.09227121849103637,9022.155088792892,8727.82710834944,9316.483069236343,0.9775787560756939,2.6831176403131474e-16,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Simstep Period Outlet (ns),simstep-period-outlet-ns,1-2,1,5506.760914965836,5108.119132075632,5905.40269785604,5506.760914965836,5108.119132075632,5905.40269785604,797.283565780408,0.611908879036265,0.5676119774144018,0.6562057806581282,0.08859380324372634,8999.3152634732,8717.432955527242,9281.197571419158,0.9790761172320072,1.4394094194526217e-16,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1-2,1,546932.169425262,530343.8345003132,563520.5043502109,546932.169425262,530343.8345003132,563520.5043502109,33176.669849897735,78.34543919030857,75.96923889019321,80.72163949042394,4.752400600230729,6978.423327207249,-4751.3007868177465,18708.147441232242,,2.6429736908860663e-23,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1-2,1,542477.7097156674,528431.5903249596,556523.8291063752,542477.7097156674,528431.5903249596,556523.8291063752,28092.238781415625,77.9517834165404,75.93341466704612,79.97015216603465,4.036737498988529,6931.565495372375,-3000.540775152982,16863.671765897732,,1.546502868582325e-24,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Latency Simsteps Inlet,latency-simsteps-inlet,1-2,1,37.19999836935973,35.336340464730036,39.06365627398943,37.19999836935973,35.336340464730036,39.06365627398943,3.7273158092593945,37.50860188390991,35.62948345765391,39.38772031016591,3.758236852511999,0.982958603572195,-0.33484653860337577,2.3007637457477657,,2.0958209936223194e-19,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
