IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
0 = Intranode | 1 = Internode,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1-2,1,600'000,530'000,660'000,600'000,530'000,660'000,130'000,77,68,85,17,7'800,-39'000,54'000,0.95,2.1e-13,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1-2,1,590'000,530'000,650'000,590'000,530'000,650'000,120'000,77,68,85,16,7'700,-36'000,52'000,0.96,1.1e-13,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Simsteps Inlet,latency-simsteps-inlet,1-2,1,41,36,45,41,36,45,8.9,41,36,45,8.9,1,-2.1,4.2,0.95,1.9e-13,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Simsteps Outlet,latency-simsteps-outlet,1-2,1,40,36,45,40,36,45,8.5,40,36,45,8.5,1,-2,4,0.96,1e-13,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Delivery Failure Rate,delivery-failure-rate,1-2,1,-0.33,-0.35,-0.31,-0.33,-0.35,-0.31,0.039,-1,-1.1,-0.94,0.12,0.33,0.32,0.34,0.99,4e-18,True,-,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Delivery Clumpiness,delivery-clumpiness,1-2,1,0.94,0.93,0.96,0.94,0.93,0.96,0.023,68,67,69,1.7,0.014,0.0056,0.022,1,2.6e-30,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Simstep Period Inlet (ns),simstep-period-inlet-ns,1-2,1,5'500,5'100,5'900,5'500,5'100,5'900,790,0.6,0.56,0.65,0.087,9'100,8'800,9'400,0.98,1.3e-16,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Simstep Period Outlet (ns),simstep-period-outlet-ns,1-2,1,5'400,5'100,5'800,5'400,5'100,5'800,760,0.6,0.56,0.64,0.084,9'000,8'800,9'300,0.98,7.1e-17,True,+,20,lambda row: True,2,2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Intranode | 1 = Internode,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1-2,1,550'000,530'000,560'000,550'000,530'000,560'000,33'000,78,76,81,4.8,7'000,-4'800,19'000,nan,2.6e-23,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1-2,1,540'000,530'000,560'000,540'000,530'000,560'000,28'000,78,76,80,4,6'900,-3'000,17'000,nan,1.5e-24,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Latency Simsteps Inlet,latency-simsteps-inlet,1-2,1,37,35,39,37,35,39,3.7,38,36,39,3.8,0.98,-0.33,2.3,nan,2.1e-19,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Latency Simsteps Outlet,latency-simsteps-outlet,1-2,1,37,35,39,37,35,39,4,37,35,39,4,0.99,-0.42,2.4,nan,6.7e-19,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Delivery Failure Rate,delivery-failure-rate,1-2,1,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,0.0026,-1,-1,-0.99,0.0081,0.32,0.32,0.32,nan,5.7e-39,True,-,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Delivery Clumpiness,delivery-clumpiness,1-2,1,0.96,0.95,0.97,0.96,0.95,0.97,0.021,610,600,620,14,0.0018,-0.0058,0.0094,nan,4.6e-31,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Simstep Period Inlet (ns),simstep-period-inlet-ns,1-2,1,5'600,5'200,6'000,5'600,5'200,6'000,800,0.62,0.58,0.66,0.089,9'000,8'700,9'300,nan,1.3e-16,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
0 = Intranode | 1 = Internode,Simstep Period Outlet (ns),simstep-period-outlet-ns,1-2,1,5'500,5'200,5'800,5'500,5'200,5'800,650,0.61,0.58,0.65,0.072,9'000,8'800,9'200,nan,3.7e-18,True,+,20,lambda row: True,2,2,Quantile Regression,quantile-regression,median
