Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,2,1,1451.8557283501418,-1451.0516713717675,4354.763128072051,1451.8557283501418,-1451.0516713717675,4354.763128072051,5805.814799443819,0.21648355365987412,-0.21636366219364606,0.6493307695133942,0.8656944317070403,6706.540537629986,4653.875030130017,8759.206045129955,0.05779287670943001,0.3072756634274868,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,2,1,1326.1389214375909,-1600.3167964286617,4252.594639303843,1326.1389214375909,-1600.3167964286617,4252.594639303843,5852.911435732505,0.19707821402500708,-0.23782393459388704,0.6319803626439011,0.8698042972377882,6728.998068093506,4659.681385148134,8798.314751038877,0.04794081846160714,0.3536849420275463,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Inlet,latency-simsteps-inlet,2,1,-0.517688872312557,-1.029359560120987,-0.006018184504126944,-0.517688872312557,-1.029359560120987,-0.006018184504126944,1.0233413756168601,-0.3662569910973968,-0.7282562083343971,-0.004257773860396436,0.7239984344740007,1.4134579950581498,1.0516521819744242,1.7752638081418755,0.2006506529547878,0.04763173250040051,True,-,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Outlet,latency-simsteps-outlet,2,1,-0.527705590874856,-1.0498434084366308,-0.005567773313081337,-0.527705590874856,-1.0498434084366308,-0.005567773313081337,1.0442756351235496,-0.3721035354712056,-0.7402810406514206,-0.00392603029099063,0.73635501036043,1.418168709971022,1.048961518459147,1.7873759014828972,0.20030243709526985,0.04784849508354378,True,-,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Delivery Failure Rate,delivery-failure-rate,2,1,0.37502202282245434,0.2994926079086019,0.4505514377363068,0.37502202282245434,0.2994926079086019,0.4505514377363068,0.1510588298277049,-90457598.56183262,-72239443.15200509,-108675753.97166015,-36436310.81965506,-4.145832142378525e-09,-0.053407365610469576,0.05340735731880529,0.8580644354198698,4.6431027343687906e-09,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Delivery Clumpiness,delivery-clumpiness,2,1,-0.5278310382127694,-0.6303498714230359,-0.42531220500250294,-0.5278310382127694,-0.6303498714230359,-0.42531220500250294,0.20503766642053295,-0.9443404140515967,-1.1277564513685312,-0.7609243767346622,0.366832074633869,0.5589414901223637,0.4864497279600517,0.6314332522846757,0.866671070779164,2.632584583046793e-09,True,-,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Simstep Period Inlet (ns),simstep-period-inlet-ns,2,1,4500.140779486196,4232.085347075326,4768.196211897066,4500.140779486196,4232.085347075326,4768.196211897066,536.1108648217396,0.9793410002519164,0.9210055640591415,1.0376764364446913,0.11667087238554985,4595.070336408486,4405.526522416867,4784.614150400104,0.9857370054191946,4.560130417224901e-18,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Simstep Period Outlet (ns),simstep-period-outlet-ns,2,1,4449.796680774956,4184.409165767963,4715.18419578195,4449.796680774956,4184.409165767963,4715.18419578195,530.7750300139869,0.967874942421604,0.9101505239292803,1.0255993609139276,0.11544883698464725,4597.49135527949,4409.834043775798,4785.148666783181,0.985701882651321,4.662270611742038e-18,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,2,1,2726.2577025665946,-181.71687694913862,5634.232282082328,2726.2577025665946,-181.71687694913862,5634.232282082328,5815.9491590314665,0.5106387020116469,-0.034036279876095706,1.0553136838993895,1.0893499637754853,5358.8546230247475,3302.6060783310736,7415.103167718422,,0.06446671457371402,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,2,1,2529.9737624404943,-345.09855641552394,5405.046081296512,2529.9737624404943,-345.09855641552394,5405.046081296512,5750.144637712036,0.46999985716886417,-0.06410986336396537,1.0041095777016937,1.0682194410656591,5401.708480112542,3368.7253470477203,7434.691613177363,,0.08098955170728307,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Inlet,latency-simsteps-inlet,2,1,-0.28758881314180956,-0.6934731627939315,0.11829553651031227,-0.28758881314180956,-0.6934731627939315,0.11829553651031227,0.8117686993042437,-0.24950607492163906,-0.6016428977955062,0.10263074795222804,0.7042736457477342,1.166294736342983,0.8792911603264759,1.45329831235949,,0.15390259663042763,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Outlet,latency-simsteps-outlet,2,1,-0.30234762864054593,-0.7192258975705896,0.11453064028949778,-0.30234762864054593,-0.7192258975705896,0.11453064028949778,0.8337565378600874,-0.2609603186766762,-0.6207735786599442,0.09885294130659182,0.719626519966536,1.173614526080563,0.87883707519082,1.468391976970306,,0.144953233188452,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Delivery Failure Rate,delivery-failure-rate,2,1,0.3773506797100003,0.3706038420426409,0.3840975173773597,0.3773506797100003,0.3706038420426409,0.3840975173773597,0.013493675334718791,inf,inf,inf,,-1.178834885700388e-07,-0.004770852549643244,0.004770616782666105,,1.9948182282026627e-27,True,+,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Delivery Clumpiness,delivery-clumpiness,2,1,-0.52692687333138,-0.585585262014218,-0.468268484648542,-0.52692687333138,-0.585585262014218,-0.468268484648542,0.11731677736567603,-0.9744714811836575,-1.0829512908054828,-0.865991671561832,0.21695961924365081,0.5570952920423587,0.5156175476312478,0.5985730364534697,,2.6163500870327227e-13,True,-,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
