IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,2,1,-440'000,-1e+06,170'000,-440'000,-1e+06,170'000,1.2e+06,-0.98,-2.3,0.37,2.7,450'000,19'000,880'000,0.11,0.15,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,2,1,-450'000,-1.1e+06,160'000,-450'000,-1.1e+06,160'000,1.2e+06,-0.98,-2.3,0.35,2.7,450'000,26'000,880'000,0.12,0.14,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Inlet,latency-simsteps-inlet,2,1,-76,-180,28,-76,-180,28,210,-0.99,-2.3,0.36,2.7,77,3.6,150,0.12,0.14,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Outlet,latency-simsteps-outlet,2,1,-77,-180,27,-77,-180,27,210,-0.99,-2.3,0.34,2.7,78,4.7,150,0.12,0.14,False,0,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Delivery Failure Rate,delivery-failure-rate,2,1,0.38,0.33,0.44,0.38,0.33,0.44,0.1,-1.4e+06,-1.2e+06,-1.5e+06,-360'000,-2.8e-07,-0.036,0.036,0.93,6e-12,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Delivery Clumpiness,delivery-clumpiness,2,1,-0.53,-0.62,-0.44,-0.53,-0.62,-0.44,0.19,-0.94,-1.1,-0.78,0.33,0.56,0.5,0.63,0.89,5.8e-10,True,-,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Simstep Period Inlet (ns),simstep-period-inlet-ns,2,1,4'500,4'200,4'700,4'500,4'200,4'700,500,0.97,0.91,1,0.11,4'600,4'400,4'800,0.99,1.5e-18,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Simstep Period Outlet (ns),simstep-period-outlet-ns,2,1,4'400,4'100,4'700,4'400,4'100,4'700,610,0.95,0.89,1,0.13,4'600,4'400,4'800,0.98,7.4e-17,True,+,20,lambda row: True,1-2,1/2,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,2,1,2'700,-180,5'600,2'700,-180,5'600,5'800,0.51,-0.034,1.1,1.1,5'400,3'300,7'400,nan,0.064,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,2,1,2'500,-350,5'400,2'500,-350,5'400,5'800,0.47,-0.064,1,1.1,5'400,3'400,7'400,nan,0.081,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
0 = Multithreading | 1 = Multiprocessing,Latency Simsteps Inlet,latency-simsteps-inlet,2,1,-0.29,-0.69,0.12,-0.29,-0.69,0.12,0.81,-0.25,-0.6,0.1,0.7,1.2,0.88,1.5,nan,0.15,False,0,20,lambda row: True,1-2,1/2,Quantile Regression,quantile-regression,median
