Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Statistic
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,-31743.612431799083,-46291.592148140844,-17195.63271545732,-31743.612431799083,-46291.592148140844,-17195.63271545732,29095.959432683525,-0.058258780936434114,-0.08495856393003609,-0.03155899794283213,0.05339956598720396,597540.3267636661,552308.8196733438,642771.8338539884,0.41639239910704784,0.00011802659189635213,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,-32288.331956090307,-47127.2003778221,-17449.463534358518,-32288.331956090307,-47127.2003778221,-17449.463534358518,29677.73684346358,-0.05888123663864926,-0.08594150485498132,-0.0318209684223172,0.054120536432664124,601861.1980991547,555725.2812696873,647997.1149286221,0.41504022247282524,0.00012208516262630177,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-1.1370391418855137,-1.4544356417670667,-0.8196426420039606,-1.1370391418855137,-1.4544356417670667,-0.8196426420039606,0.6347929997631061,-0.14594741147270002,-0.18668760753261016,-0.10520721541278989,0.08148039211982026,9.811942275183679,8.825116453677378,10.79876809668998,0.6579074020555211,5.4471242581966285e-08,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-1.1734975425047225,-1.5070444950700737,-0.8399505899393713,-1.1734975425047225,-1.5070444950700737,-0.8399505899393713,0.6670939051307023,-0.14750004342098347,-0.18942445161472965,-0.10557563522723727,0.08384881638749238,10.040834903853867,9.003795284327312,11.077874523380421,0.649727363359915,7.626107019210354e-08,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,0.0376011370043153,0.02802355743468482,0.047178716573945775,0.0376011370043153,0.02802355743468482,0.047178716573945775,0.019155159139260955,0.19592581875630882,0.14602054278903712,0.24583109472358053,0.09981055193454341,0.12356616649478333,0.09378826147576243,0.15334407151380425,0.6978623632961611,9.319585435627521e-09,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,8302.228994831337,7044.383961125315,9560.07402853736,8302.228994831337,7044.383961125315,9560.07402853736,2515.6900674120443,0.11848646202094701,0.10053494467455355,0.13643797936734045,0.0359030346927869,54079.96744062541,50169.168300818295,57990.76658043253,0.8671704234051235,8.498988162520516e-14,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,8238.88110871309,6953.42891118461,9524.333306241571,8238.88110871309,6953.42891118461,9524.333306241571,2570.904395056961,0.11916487037371461,0.10057244957423364,0.13775729117319555,0.037184841598961904,53229.371589100294,49232.73828877558,57226.00488942501,0.8602572735093774,1.7356262777439409e-13,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,73996.09184085633,7239.683395868153,140752.5002858445,73996.09184085633,7239.683395868153,140752.5002858445,133512.81688997633,0.034341096466626045,0.0033598891468490546,0.06532230378640304,0.06196241463955399,2067359.4233100838,1859805.3147136758,2274913.5319064916,0.1554925710871765,0.031062516112910967,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,70036.17242502456,1284.737773818022,138787.6070762311,70036.17242502456,1284.737773818022,138787.6070762311,137502.86930241308,0.03214431661250515,0.0005896526942539729,0.06369898053075633,0.06310932783650236,2098674.510051398,1884917.612906242,2312431.4071965544,0.1345805930095224,0.04614196263582518,True,+,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,-0.0508713895070835,-0.08211152235684102,-0.019631256657325985,-0.0508713895070835,-0.08211152235684102,-0.019631256657325985,0.062480265699515036,-0.04053558539764508,-0.06542849839324537,-0.01564267240204479,0.04978582599120058,1.3459923002997072,1.2488627800468606,1.4431218205525538,0.2843703504692663,0.0024102986636415085,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,-0.05760316802218113,-0.09091205550886544,-0.024294280535496808,-0.05760316802218113,-0.09091205550886544,-0.024294280535496808,0.06661777497336863,-0.044405678047500174,-0.07008315004495275,-0.018728206050047606,0.051354943994905144,1.398600309028061,1.2950387692197305,1.5021618488363915,0.30947541797798317,0.0014114818363336753,True,-,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,30,lambda row: True,16_64_256,16/64/256,Ordinary Least Squares Regression,mean
